I eat an apple every morning.  
She runs in the park daily.  
We watched a movie last night.  
He will buy a new car.  
They play soccer every weekend.  
The dog barked at the stranger.  
I am reading a good book.  
She cooked dinner for her family.  
We will travel to Spain soon.  
He likes to swim in summer.  
The cat sleeps on the couch.  
I walked to the store yesterday.  
She is singing a beautiful song.  
They are studying for the exam.  
He painted the house last month.  
We will visit our grandparents tomorrow.  
The bird flies high in the sky.  
I drink coffee every morning.  
She danced at the party yesterday.  
They will go to the beach.  
He writes a letter every week.  
The baby is crying right now.  
I cleaned the house this morning.  
She will learn to play guitar.  
We watched the sunset last evening.  
He is eating breakfast right now.  
The dog runs in the yard.  
I will call my friend tomorrow.  
She bought a dress last weekend.  
They are playing in the park.  
He helped his mom with chores.  
The cat jumped on the table.  
I am writing a short story.  
She will bake cookies this afternoon.  
We saw a rainbow after rain.  
He likes to read adventure books.  
The bird sings every morning early.  
I visited my aunt last summer.  
She is drawing a pretty picture.  
They will dance at the festival.  
He cleaned his room this morning.  
The dog chased the cat yesterday.  
I will buy new shoes tomorrow.  
She sings in the school choir.  
We are watching a funny show.  
He painted a picture last week.  
The cat is sleeping right now.  
I walked in the park yesterday.  
She will cook dinner tonight.  
They like to play video games.  
He is reading a new book.  
The bird flew away this morning.  
I drink tea in the evening.  
She danced with her friends yesterday.  
We will visit the zoo tomorrow.  
He writes in his journal daily.  
The baby laughed at the toy.  
I cleaned my car last weekend.  
She is learning to ride bicycles.  
They watched a game last night.  
He will paint the fence tomorrow.  
The dog barks at the mailman.  
I am eating an orange now.  
She bought flowers for her mom.  
We will go hiking this weekend.  
He likes to play the piano.  
The cat runs after the mouse.  
I visited the museum last month.  
She is writing a long letter.  
They will swim in the pool.  
He helped his dad fix cars.  
The bird built a nest yesterday.  
I will read a book tonight.  
She cooked soup for her family.  
We saw a movie last weekend.  
He is drawing a big house.  
The dog sleeps on the bed.  
I walked to school this morning.  
She will sing at the concert.  
They are reading in the library.  
He painted the door last week.  
The cat chased a butterfly yesterday.  
I will buy a new phone.  
She dances at the studio weekly.  
We are watching the stars tonight.  
He likes to eat ice cream.  
The bird flies to the tree.  
I cleaned the kitchen this morning.  
She will learn to speak Spanish.  
They watched TV last night late.  
He is writing a funny story.  
The dog ran in the field.  
I will visit my cousin tomorrow.  
She bought a hat last week.  
They are playing soccer right now.  
He helped his sister with homework.  
The cat is eating its food.  
I walked to the market yesterday.  
She will bake a cake tomorrow.  
We saw a dog in park.  
He is reading a comic book.  
The bird sang beautifully this morning.  
I drink water after every meal.  
She danced at the school event.  
We will go to the movies.  
He writes poems in his notebook.  
The baby is sleeping right now.  
I cleaned my room this afternoon.  
She will learn to draw soon.  
They watched a show last evening.  
He is eating lunch right now.  
The dog plays with a ball.  
I will call my mom tonight.  
She bought shoes for her brother.  
They are studying in the classroom.  
He painted a wall last month.  
